,date_uuid,user_uuid,card_number,store_code,product_code,product_quantity
0,9476f17e-5d6a-4117-874d-9cdb38ca1fa6,93caf182-e4e9-4c6e-bebb-60a1a9dcf9b8,30060773296197,BL-8387506C,R7-3126933h,3
1,0423a395-a04d-4e4a-bd0f-d237cbd5a295,8fe96c3a-d62d-4eb5-b313-cf12d9126a49,349624180933183,WEB-1388012W,C2-7287916l,2
2,65187294-bb16-4519-adc0-787bbe423970,fc461df4-b919-48b2-909e-55c95a03fe6b,3529023891650490,CH-01D85C8D,S7-1175877v,2
3,579e21f7-13cb-436b-83ad-33687a4eb337,6104719f-ef14-4b09-bf04-fb0c4620acb0,213142929492281,CL-C183BE4B,D8-8421505n,2
4,00ab86c3-2039-4674-b9c1-adbcbbf525bd,9523a6d3-b2dd-4670-a51a-36aebc89f579,502067329974,SO-B5B9CB3B,B6-2596063a,2
5,c3a1df8f-6918-4795-9f8a-6869b2cda9cf,53d21f46-1fa4-452f-a023-26aee2aae4d6,3506661913512980,WEB-1388012W,g3-7974400s,2
6,ac94c06e-b5ba-4794-bbf3-3ea9dc0e6b6c,e2066a2c-8cd3-46ad-b2ea-e2445d5d9335,377549437870679,AR-0C5116E4,U3-5148457q,4
7,27a59013-6ecf-4f3d-86f8-8e972a8f346c,bd690c60-c952-40c0-82df-0f8b6797b562,2321541881278150,OB-FDC2CF69,q8-5387483Z,3
8,38ebd7b6-b1d4-462e-bfd7-265e3674ef3f,02de2416-4baf-42ad-bae6-d716eca0fc3f,6011037917693140,WEB-1388012W,i4-2651057I,5
9,e764e21c-f9ce-4e0a-8c01-4218e92e424c,caffe463-4918-4f45-a37d-856dc0f15884,502049986008,BE-6F48991F,b6-6234052g,2
10,938a8972-784f-4f65-84bc-5fe51051ccbe,884fa18d-cc40-4e75-87c6-0786ab29933a,6501622116456490,PO-E636D18D,g5-411324A,8
11,2e78a288-31c6-4a2a-8aea-cb93ad389aaa,bf86d13b-882b-485e-addd-0c4e9a39a96c,6502495513721380,WEB-1388012W,S6-3678717g,1
